iter	Passed	Remaining
449	1115	1363
450	1116	1359
451	1118	1355
452	1119	1352
453	1121	1348
454	1122	1344
455	1123	1340
456	1125	1337
457	1126	1333
458	1130	1332
459	1132	1329
460	1133	1325
461	1139	1326
462	1140	1323
463	1142	1319
464	1146	1319
465	1148	1315
466	1149	1312
467	1151	1308
468	1152	1304
469	1153	1301
470	1155	1297
471	1157	1294
472	1161	1294
473	1163	1290
474	1164	1287
475	1166	1283
476	1167	1280
477	1169	1276
478	1170	1273
479	1185	1283
480	1186	1280
481	1188	1276
482	1189	1273
483	1193	1271
484	1194	1268
485	1195	1264
486	1197	1261
487	1198	1257
488	1200	1254
489	1201	1250
490	1203	1247
491	1204	1243
492	1209	1243
493	1210	1239
494	1211	1236
495	1213	1233
496	1215	1230
497	1216	1226
498	1220	1225
499	1224	1224
500	1226	1221
501	1227	1218
502	1229	1214
503	1230	1211
504	1232	1207
505	1233	1204
506	1235	1201
507	1239	1200
508	1241	1197
509	1242	1193
510	1245	1191
511	1247	1188
512	1248	1185
513	1249	1181
514	1251	1178
515	1255	1178
516	1257	1174
517	1272	1184
518	1274	1180
519	1275	1177
520	1276	1173
521	1278	1170
522	1279	1167
523	1281	1163
524	1282	1160
525	1286	1159
526	1288	1156
527	1289	1153
528	1293	1151
529	1304	1156
530	1306	1153
531	1307	1150
532	1309	1147
533	1310	1143
534	1312	1140
535	1313	1137
536	1315	1133
537	1319	1133
538	1320	1129
539	1322	1126
540	1324	1123
541	1325	1120
542	1327	1117
543	1329	1114
544	1334	1113
545	1336	1111
546	1338	1108
547	1359	1121
548	1361	1118
549	1362	1115
550	1367	1114
551	1370	1112
552	1372	1109
553	1374	1106
554	1375	1102
555	1376	1099
556	1378	1096
557	1384	1096
558	1386	1094
559	1388	1090
560	1389	1087
561	1391	1084
562	1392	1080
563	1393	1077
564	1406	1082
565	1407	1079
566	1408	1075
567	1414	1075
568	1416	1072
569	1418	1069
570	1419	1066
571	1421	1063
572	1423	1060
573	1425	1057
574	1431	1058
575	1433	1055
576	1434	1051
577	1436	1048
578	1437	1045
579	1439	1042
580	1440	1038
581	1479	1062
582	1481	1059
583	1482	1056
584	1484	1052
585	1485	1049
586	1487	1046
587	1488	1042
588	1491	1040
589	1493	1038
590	1495	1034
591	1496	1031
592	1497	1028
593	1499	1024
594	1500	1021
595	1502	1018
596	1503	1015
597	1505	1011
598	1507	1009
599	1511	1007
600	1513	1004
601	1514	1001
602	1516	998
603	1517	995
604	1522	993
605	1524	990
606	1525	987
607	1527	984
608	1528	981
609	1530	978
610	1531	974
611	1532	971
612	1534	968
613	1536	965
614	1537	962
615	1538	959
616	1540	956
617	1541	952
618	1557	958
619	1559	955
620	1561	953
621	1563	950
622	1567	948
623	1571	946
624	1572	943
625	1574	940
626	1575	937
627	1577	934
628	1578	931
629	1583	930
630	1585	927
631	1586	924
632	1588	920
633	1589	917
634	1590	914
635	1592	911
636	1593	908
637	1598	906
638	1599	903
639	1600	900
640	1602	897
641	1603	894
642	1605	891
643	1606	888
644	1607	884
645	1609	881
646	1612	880
647	1615	877
648	1616	874
649	1618	871
650	1620	868
651	1622	865
652	1624	863
653	1629	862
654	1631	859
655	1636	858
656	1637	855
657	1639	852
658	1643	850
659	1645	847
660	1646	844
661	1648	841
662	1649	838
663	1651	835
664	1652	832
665	1654	829
666	1659	828
667	1661	825
668	1662	822
669	1663	819
670	1665	816
671	1666	813
672	1668	810
673	1669	807
674	1676	806
675	1678	804
676	1679	801
677	1681	798
678	1682	795
679	1684	792
680	1685	789
681	1689	787
682	1691	785
683	1692	782
684	1694	779
685	1695	776
686	1696	773
687	1698	770
